,NBH_ID,NBH_NAME,total crime,violent crime,property crime,Median income,Median home value,Population with BS or More,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Bike Score,Population,Animals / Pets,City Facilities,Lights / Signals,Mowing / Weeds,Trash / Recycling
94,63,Ingleside,181,173,178,35889,57050,17,35,512,0,47,111,103,229,44,44,32,908,15.34146341,,2.888888889,32,41.31578947
95,236,Gashland,179,156,190,94225,212866,708,1899,126,36,161,55,189,856,20,15,27,5350,11.5625,,4.897435897,95.75,7.843243243
96,220,Platte Brook North,179,274,71,73960,215900,725,1717,322,28,199,22,584,1007,4,20,26,2507,11.2,,1,35.33333333,2.730769231
97,12,Longfellow,177,216,130,38194,198850,396,595,209,69,166,95,447,547,73,58,63,1958,21.375,,2.454545455,72,22.6
98,78,South Hyde Park,175,368,140,55095,195833,475,639,129,55,53,86,269,449,59,49,55,2181,11.53846154,,4.285714286,92.75,20.24637681
99,214,Clayton,174,185,152,69426,162466,306,1102,233,9,118,12,167,581,4,14,13,4249,3,,2.181818182,,13.47368421
100,205,Ravenwood-Somerset,172,201,129,81353,193620,372,1073,85,68,162,31,87,570,11,6,23,3306,2.304347826,,3.785714286,52.14285714,15.01724138
101,68,Squier Park,165,191,130,64375,170100,159,396,406,0,68,38,136,330,51,48,52,674,7.666666667,,48,53.14285714,14.05882353
102,197,Cooley Highlands ,151,270,69,56926,131966,120,792,148,70,62,34,174,366,27,23,34,1626,,,,,
103,188,Briarcliff West,149,253,35,52030,286599,425,814,194,109,72,114,548,704,26,14,19,710,0.75,,2,,2.2
104,142,Linden Hills And Indian Heights,146,319,115,46397,123750,240,507,559,10,69,81,314,526,14,29,42,2081,4.321428571,180,15.68421053,85.6,10.58227848
105,23,Parkview,145,217,67,14615,73383,73,167,857,84,199,84,395,437,68,53,61,1570,3.25,,9.4,,92.5
